,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 19:18:52.930000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,-0.001,-0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:53.950000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:54.949000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,0,0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:55.970000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.001,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:56.970000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.001,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:57.990000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.001,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:58.990000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.001,-0.001,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:00.010000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.003,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:01.013000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.002,0.003,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:02.020000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,-0.001,-0.003,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:03.040000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.001,-0.004,0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:04.050000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.001,0.002,0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:05.049000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.002,-0.001,-0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:06.068000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.003,-0.002,-0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:07.070000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.002,0.001,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:08.081000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.002,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:09.089000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.002,0.004,-0.003,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:10.100000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,-0.001,0.001,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:11.270000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0.001,-0.001,0.002,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:12.269000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:43.850000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:44.911000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.28,0.04,9.44,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:45.920000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.26,0.03,9.43,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:46.930000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.27,0.04,9.41,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:47.940000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.29,0.05,9.42,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:48.941000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.27,0.06,9.43,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:49.950000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.28,0.02,9.43,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:50.959000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.26,0.05,9.43,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:52.010000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.562,-16.875,0,0.002,0,-0.28,0.04,9.41,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
